timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-07-17T13:25:04,codecarbon,3a50d372-0e59-4aff-bdca-cf278d708fa5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0067439004778862,8.351441888310687e-08,1.2383696817139796e-05,60.0,0.0,10.0,1.107283402234316e-07,0.0,6.330279736883111e-09,1.170586199603147e-07,India,IND,telangana,,,Windows-10-10.0.26100-SP0,3.11.4,3.0.4,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1,1 x GeForce MX150,78.4583,17.3843,7.889213562011719,machine,N,1.0
2025-07-17T13:25:15,codecarbon,08934ce9-8e48-4e51-894a-03f64e73e8b0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0371571006253361,4.750829347431013e-07,1.2785791322457444e-05,60.0,0.0,10.0,6.178549956530332e-07,0.0,4.8048610592054e-08,6.659036062450872e-07,India,IND,telangana,,,Windows-10-10.0.26100-SP0,3.11.4,3.0.4,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1,1 x GeForce MX150,78.4583,17.3843,7.889213562011719,machine,N,1.0
2025-07-17T13:25:25,codecarbon,bb46d800-d4dc-4dd5-948b-0e7f83f01887,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0067718997597694,8.367889823190505e-08,1.235678335480176e-05,60.0,0.0,10.0,1.112833308676879e-07,0.0,6.005832821958595e-09,1.1728916368964645e-07,India,IND,telangana,,,Windows-10-10.0.26100-SP0,3.11.4,3.0.4,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1,1 x GeForce MX150,78.4583,17.3843,7.889213562011719,machine,N,1.0
2025-07-17T13:25:36,codecarbon,7076424a-c327-4bea-840c-9e957e92180c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0068228999152779,2.825647800484105e-10,4.14141763117009e-08,60.0,0.0,10.0,1.120366621762514e-07,0.0,6.826943717896938e-09,1.1886360589414837e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.4,3.0.4,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1,1 x GeForce MX150,-71.2,46.8,7.889213562011719,machine,N,1.0
2025-07-17T13:25:46,codecarbon,2faf3853-7c43-4ab2-bb0f-05ba781dee7f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0064444001764059,7.975517725417547e-08,1.2375888379212283e-05,60.0,0.0,10.0,1.0583833791315554e-07,0.0,5.951112446685631e-09,1.117894503598412e-07,India,IND,telangana,,,Windows-10-10.0.26100-SP0,3.11.4,3.0.4,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1,1 x GeForce MX150,78.4583,17.3843,7.889213562011719,machine,N,1.0
2025-07-17T13:25:57,codecarbon,727a5c86-5de4-4ca0-901b-ff4d5b6c64c0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.007983099669218,9.80818820913762e-08,1.228619034653531e-05,60.0,0.0,10.0,1.31003325805068e-07,0.0,6.473889677888817e-09,1.3747721548295682e-07,India,IND,telangana,,,Windows-10-10.0.26100-SP0,3.11.4,3.0.4,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1,1 x GeForce MX150,78.4583,17.3843,7.889213562011719,machine,N,1.0
2025-07-17T13:26:09,codecarbon,5e1e8c4a-a21a-4585-b008-379a51e94cb4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0169823998585343,6.990819092767327e-10,4.1165083562993374e-08,60.0,0.0,10.0,2.808816730976105e-07,0.0,1.3193889107141229e-08,2.9407556220475173e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.4,3.0.4,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1,1 x GeForce MX150,-71.2,46.8,7.889213562011719,machine,N,1.0
2025-07-17T13:26:20,codecarbon,91492ac4-2a94-4f76-a843-e59d46b9b4af,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0075005004182457,3.1335971579075966e-10,4.1778507875084936e-08,60.0,0.0,10.0,1.2363001393775144e-07,0.0,8.187779328889317e-09,1.3181779326664077e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.4,3.0.4,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1,1 x GeForce MX150,-71.2,46.8,7.889213562011719,machine,N,1.0
2025-07-17T13:26:31,codecarbon,d66a5221-0179-421d-8988-bef75a019802,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0065994998440146,2.7270265151400503e-10,4.1321714972283874e-08,60.0,0.0,10.0,1.0862667113542557e-07,0.0,6.088335067033768e-09,1.1471500620245936e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.4,3.0.4,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1,1 x GeForce MX150,-71.2,46.8,7.889213562011719,machine,N,1.0
2025-07-17T13:26:45,codecarbon,44537153-b972-4182-bac3-b690b28896ce,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0083709005266428,3.5085567325908284e-10,4.191373104272159e-08,60.0,0.0,10.0,1.372199971228838e-07,0.0,1.0370833074880972e-08,1.4759083019776478e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.4,3.0.4,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1,1 x GeForce MX150,-71.2,46.8,7.889213562011719,machine,N,1.0
